emp_no,first_name,last_name,to_date,title,from_date
99377,Carrsten,Francisci,9999-01-01,Senior Engineer,1991-06-16
101487,Abdelaziz,Sury,9999-01-01,Staff,1991-01-31
101487,Abdelaziz,Sury,9999-01-01,Senior Staff,1999-01-31
102620,Adin,Templeman,9999-01-01,Engineer,1997-12-10
103310,Visit,Swen,9999-01-01,Staff,1995-10-02
103310,Visit,Swen,9999-01-01,Senior Staff,2000-10-01
105356,Diederik,Matzov,9999-01-01,Senior Engineer,1996-05-12
105356,Diederik,Matzov,9999-01-01,Engineer,1988-05-12
105432,Mohamadou,Stafford,9999-01-01,Senior Engineer,2000-09-11
105432,Mohamadou,Stafford,9999-01-01,Engineer,1995-09-12
107737,Fabrizio,Chleq,9999-01-01,Senior Engineer,1999-07-31
109062,Jamaludin,Kandlur,9999-01-01,Senior Engineer,1992-06-19
200312,Akemi,Fujisaki,9999-01-01,Senior Engineer,1998-06-25
200735,Dinah,Denos,9999-01-01,Staff,1992-09-21
200735,Dinah,Denos,9999-01-01,Senior Staff,2001-09-21
202403,Gully,Perko,9999-01-01,Engineer,1999-07-07
204425,Gretta,Huttel,9999-01-01,Senior Engineer,1990-10-08
206966,Tzu,Sichman,9999-01-01,Senior Engineer,1992-11-16
206966,Tzu,Sichman,9999-01-01,Engineer,1987-11-17
208653,Phillip,Schade,9999-01-01,Senior Engineer,1998-03-03
208653,Phillip,Schade,9999-01-01,Engineer,1989-03-03
211858,Domenico,Ratnaker,9999-01-01,Senior Engineer,1993-03-24
211858,Domenico,Ratnaker,9999-01-01,Engineer,1985-03-24
211879,Gao,Ranze,9999-01-01,Senior Engineer,1999-11-24
211879,Gao,Ranze,9999-01-01,Engineer,1994-11-24
212361,Claudi,Stanfel,9999-01-01,Senior Engineer,2001-01-06
212361,Claudi,Stanfel,9999-01-01,Engineer,1996-01-07
214427,Peer,Molberg,9999-01-01,Engineer,1996-11-17
216054,Sahrah,Angiulli,9999-01-01,Staff,1986-07-31
216054,Sahrah,Angiulli,9999-01-01,Senior Staff,1991-07-31
216921,Lena,Lenart,9999-01-01,Staff,1990-12-25
216921,Lena,Lenart,9999-01-01,Senior Staff,1995-12-25
218831,Unal,DuBourdieux,9999-01-01,Engineer,1996-03-13
222952,Gopalakrishnan,Suermann,9999-01-01,Senior Engineer,1998-04-30
222952,Gopalakrishnan,Suermann,9999-01-01,Engineer,1991-04-30
222998,Leaf,Awdeh,9999-01-01,Staff,1985-02-20
222998,Leaf,Awdeh,9999-01-01,Senior Staff,1991-02-20
224390,True,Shobatake,9999-01-01,Senior Staff,1996-05-17
224934,George,Miake,9999-01-01,Staff,1988-01-02
224934,George,Miake,9999-01-01,Senior Staff,1996-01-02
227899,Garnik,Luce,9999-01-01,Staff,1998-09-15
229248,Harjit,Terekhov,9999-01-01,Staff,1995-10-19
230287,Renny,Alameldin,9999-01-01,Assistant Engineer,1997-09-28
232697,Barry,Ramsak,9999-01-01,Senior Engineer,1999-09-07
232697,Barry,Ramsak,9999-01-01,Engineer,1990-09-07
232723,Tesuya,Bugrara,9999-01-01,Engineer,2002-02-13
232723,Tesuya,Bugrara,9999-01-01,Assistant Engineer,1993-02-13
238422,Vishv,Angelov,9999-01-01,Staff,1988-03-08
238422,Vishv,Angelov,9999-01-01,Senior Staff,1996-03-08
239426,Vesna,Fairtlough,9999-01-01,Engineer,1994-08-09
248953,Percy,Sudbeck,9999-01-01,Assistant Engineer,1996-08-29
249969,Georgi,Luiz,9999-01-01,Senior Engineer,1999-06-10
249969,Georgi,Luiz,9999-01-01,Engineer,1991-06-10
252392,Sanjeeva,Peron,9999-01-01,Senior Engineer,1999-12-26
252392,Sanjeeva,Peron,9999-01-01,Engineer,1993-12-26
255466,Huan,Roccetti,9999-01-01,Senior Engineer,1985-07-03
260249,Vugranam,Beausoleil,9999-01-01,Staff,1998-05-14
261184,Masako,Kornatzky,9999-01-01,Senior Engineer,1987-08-29
263012,Hideo,Buchter,9999-01-01,Staff,1999-05-01
263645,Mingsen,Lally,9999-01-01,Senior Engineer,1990-12-04
264626,Noritoshi,Bakhtari,9999-01-01,Staff,1993-02-03
264626,Noritoshi,Bakhtari,9999-01-01,Senior Staff,1998-02-03
266206,Zsolt,Anily,9999-01-01,Staff,1985-08-19
266206,Zsolt,Anily,9999-01-01,Senior Staff,1991-08-19
266881,Mokhtar,Sabnani,9999-01-01,Staff,1990-08-28
266881,Mokhtar,Sabnani,9999-01-01,Senior Staff,1997-08-28
271219,Odoardo,Tyugu,9999-01-01,Engineer,1994-11-07
274369,Ranga,Waymire,9999-01-01,Senior Staff,1997-01-27
275881,Jiann,Munro,9999-01-01,Senior Engineer,1988-05-18
277316,Vitali,Rothenberg,9999-01-01,Staff,1989-10-04
277316,Vitali,Rothenberg,9999-01-01,Senior Staff,1998-10-04
282547,Nahum,Codenie,9999-01-01,Engineer,1999-06-14
284687,Oksana,Redmiles,9999-01-01,Senior Engineer,1992-06-22
284687,Oksana,Redmiles,9999-01-01,Engineer,1985-06-22
285164,Xiaocheng,Kumaresan,9999-01-01,Staff,1994-10-03
287482,Shigeaki,Gihr,9999-01-01,Senior Engineer,2002-03-18
287482,Shigeaki,Gihr,9999-01-01,Engineer,1994-03-18
288166,Masoud,Asmuth,9999-01-01,Staff,1994-09-05
288606,Susumu,Swiss,9999-01-01,Staff,1991-11-15
288606,Susumu,Swiss,9999-01-01,Senior Staff,1996-11-14
289807,Soenke,Lemarechal,9999-01-01,Staff,1994-09-04
289807,Soenke,Lemarechal,9999-01-01,Senior Staff,2000-09-03
291352,Danai,Trelles,9999-01-01,Technique Leader,1992-04-17
293746,Sanjay,Litecky,9999-01-01,Senior Engineer,2000-08-26
293746,Sanjay,Litecky,9999-01-01,Engineer,1995-08-27
297474,Irena,Terkki,9999-01-01,Staff,1998-03-11
299580,Luisa,Itzfeldt,9999-01-01,Engineer,1997-01-23
400780,Poornachandra,Asser,9999-01-01,Engineer,1993-11-07
400796,Bodo,Halevi,9999-01-01,Engineer,1996-05-30
404788,Basem,Beausoleil,9999-01-01,Engineer,1998-03-16
406239,Marek,Tomescu,9999-01-01,Senior Engineer,2002-05-15
406239,Marek,Tomescu,9999-01-01,Engineer,1995-05-15
408019,Shridhar,Chleq,9999-01-01,Senior Engineer,1996-03-21
408019,Shridhar,Chleq,9999-01-01,Engineer,1991-03-22
408019,Shridhar,Chleq,9999-01-01,Assistant Engineer,1986-03-22
408437,Uno,Solares,9999-01-01,Staff,1994-09-22
408437,Uno,Solares,9999-01-01,Senior Staff,1999-09-22
409798,Dekang,Tsunoo,9999-01-01,Technique Leader,1995-01-19
414551,Elliott,Copas,9999-01-01,Senior Engineer,1999-09-13
414551,Elliott,Copas,9999-01-01,Engineer,1994-09-13
415338,Shigeo,Emmart,9999-01-01,Assistant Engineer,1995-12-24
416383,Nectarios,Itschner,9999-01-01,Senior Engineer,1996-03-01
416383,Nectarios,Itschner,9999-01-01,Engineer,1990-03-02
421384,Renny,Bednarek,9999-01-01,Staff,1987-06-01
421384,Renny,Bednarek,9999-01-01,Senior Staff,1995-06-01
425535,Alagu,Vieri,9999-01-01,Staff,1986-08-23
425535,Alagu,Vieri,9999-01-01,Senior Staff,1992-08-22
424930,Xuejun,Reeker,9999-01-01,Staff,1988-11-18
424930,Xuejun,Reeker,9999-01-01,Senior Staff,1997-11-18
426644,Zejun,Broomell,9999-01-01,Senior Engineer,2002-01-19
426644,Zejun,Broomell,9999-01-01,Engineer,1995-01-19
426824,Gopalakrishnan,Mawatari,9999-01-01,Staff,1988-10-29
426824,Gopalakrishnan,Mawatari,9999-01-01,Senior Staff,1993-10-29
427823,Jaques,Gecsei,9999-01-01,Staff,1999-07-13
429231,Kazuyasu,Schmiedel,9999-01-01,Staff,1985-09-07
429231,Kazuyasu,Schmiedel,9999-01-01,Senior Staff,1991-09-07
429954,Renny,Gladwell,9999-01-01,Staff,1999-02-27
431657,Visit,Thiran,9999-01-01,Senior Engineer,1991-11-14
431657,Visit,Thiran,9999-01-01,Engineer,1986-11-14
437276,Dines,DeMori,9999-01-01,Staff,1987-12-07
437276,Dines,DeMori,9999-01-01,Senior Staff,1994-12-07
437369,Kazuhide,Biran,9999-01-01,Senior Staff,1995-01-25
437724,Erez,Luft,9999-01-01,Staff,1994-12-14
438264,Rasikan,Barreiro,9999-01-01,Staff,1991-09-27
438264,Rasikan,Barreiro,9999-01-01,Senior Staff,2000-09-26
442312,Zengping,Cusworth,9999-01-01,Senior Engineer,1997-06-06
442312,Zengping,Cusworth,9999-01-01,Engineer,1991-06-07
444070,Heping,Skrikant,9999-01-01,Staff,1990-11-27
444070,Heping,Skrikant,9999-01-01,Senior Staff,1999-11-27
445226,Oscar,Baumann,9999-01-01,Senior Engineer,1996-01-22
445226,Oscar,Baumann,9999-01-01,Engineer,1987-01-22
445941,Masako,Dechter,9999-01-01,Technique Leader,1985-09-25
446121,Fay,Cochrane,9999-01-01,Staff,1999-12-13
449189,Jahangir,Bernatsky,9999-01-01,Senior Staff,1995-09-30
452206,Arra,Esposito,9999-01-01,Staff,1994-11-03
452347,Shigeichiro,Brattka,9999-01-01,Staff,1996-07-13
452347,Shigeichiro,Brattka,9999-01-01,Senior Staff,2001-07-13
453644,Berni,Takkinen,9999-01-01,Staff,1992-06-08
453644,Berni,Takkinen,9999-01-01,Senior Staff,1997-06-08
453913,Stein,Perng,9999-01-01,Staff,1993-04-29
453913,Stein,Perng,9999-01-01,Senior Staff,1998-04-29
453790,Fai,Keirsey,9999-01-01,Senior Engineer,1999-10-12
453790,Fai,Keirsey,9999-01-01,Engineer,1994-10-12
454791,Xiaoqiu,Pietracaprina,9999-01-01,Senior Engineer,1994-07-09
455175,Soenke,Zaumen,9999-01-01,Staff,1992-02-22
455175,Soenke,Zaumen,9999-01-01,Senior Staff,1998-02-21
455814,Giao,DuCasse,9999-01-01,Senior Engineer,1999-07-19
455814,Giao,DuCasse,9999-01-01,Engineer,1991-07-19
455726,Qiwen,Kriebel,9999-01-01,Staff,1987-12-13
455726,Qiwen,Kriebel,9999-01-01,Senior Staff,1992-12-12
457411,Xudong,Peck,9999-01-01,Senior Engineer,1988-04-18
458726,Shahaf,Kitai,9999-01-01,Staff,1986-12-26
458726,Shahaf,Kitai,9999-01-01,Senior Staff,1991-12-26
458790,Ramya,Azadmanesh,9999-01-01,Senior Engineer,1994-11-19
458790,Ramya,Azadmanesh,9999-01-01,Engineer,1988-11-19
460691,Munehiko,Gihr,9999-01-01,Senior Staff,1989-12-06
463495,Alenka,Barriga,9999-01-01,Staff,1988-05-06
463495,Alenka,Barriga,9999-01-01,Senior Staff,1993-05-06
465085,Vidar,Gunderson,9999-01-01,Senior Staff,1996-03-18
465711,Lakshmi,Frijda,9999-01-01,Senior Engineer,1995-04-21
465711,Lakshmi,Frijda,9999-01-01,Engineer,1990-04-21
467176,Przemyslawa,Borovoy,9999-01-01,Staff,1993-06-18
467176,Przemyslawa,Borovoy,9999-01-01,Senior Staff,1998-06-18
467886,Sivanarayana,Chandrasekhar,9999-01-01,Senior Staff,1996-01-24
468417,Kamakshi,Huhdanpaa,9999-01-01,Senior Engineer,2001-08-26
468417,Kamakshi,Huhdanpaa,9999-01-01,Engineer,1993-08-26
469529,Neven,Rikino,9999-01-01,Senior Engineer,1993-10-21
469529,Neven,Rikino,9999-01-01,Engineer,1988-10-21
469735,Arif,Stranks,9999-01-01,Senior Engineer,1992-11-16
471532,Feiyu,Decleir,9999-01-01,Technique Leader,1998-09-13
471939,Kazuhiko,Marshall,9999-01-01,Staff,1999-11-16
477578,Marit,Paludetto,9999-01-01,Senior Engineer,1998-09-30
477578,Marit,Paludetto,9999-01-01,Engineer,1990-09-30
478007,Fumino,Narahara,9999-01-01,Senior Engineer,2000-09-20
478007,Fumino,Narahara,9999-01-01,Engineer,1991-09-21
479695,Masamitsu,Murrill,9999-01-01,Staff,1996-06-27
479695,Masamitsu,Murrill,9999-01-01,Senior Staff,2002-06-27
480407,Deniz,Bennis,9999-01-01,Senior Engineer,1996-06-24
480407,Deniz,Bennis,9999-01-01,Engineer,1989-06-24
481790,Haldun,Erie,9999-01-01,Senior Engineer,1996-09-12
483401,Rosita,Pokrovskii,9999-01-01,Senior Staff,1996-08-03
483825,Marek,Mitchem,9999-01-01,Senior Engineer,1992-11-20
485253,Gladys,Parhami,9999-01-01,Senior Staff,1996-07-20
486958,Tonny,Kropf,9999-01-01,Senior Engineer,1992-07-29
486958,Tonny,Kropf,9999-01-01,Engineer,1986-07-30
488540,Breannda,Maquelin,9999-01-01,Senior Staff,1996-04-12
488752,Nimmagadda,Baja,9999-01-01,Staff,1994-02-09
488752,Nimmagadda,Baja,9999-01-01,Senior Staff,2002-02-09
489755,Matk,Chorvat,9999-01-01,Staff,1994-12-30
489755,Matk,Chorvat,9999-01-01,Senior Staff,2000-12-29
489756,Kersti,Miculan,9999-01-01,Staff,1992-06-09
489756,Kersti,Miculan,9999-01-01,Senior Staff,1999-06-10
491632,Gadiel,Perly,9999-01-01,Staff,1986-10-20
491632,Gadiel,Perly,9999-01-01,Senior Staff,1994-10-20
492000,Valeska,Cools,9999-01-01,Staff,1993-12-16
492000,Valeska,Cools,9999-01-01,Senior Staff,1999-12-16
498845,Arumugam,Pelc,9999-01-01,Senior Engineer,1999-11-13
10291,Dipayan,Seghrouchni,9999-01-01,Staff,1987-03-30
10291,Dipayan,Seghrouchni,9999-01-01,Senior Staff,1994-03-30
15058,Bouchung,Bugrara,9999-01-01,Staff,1990-06-18
15058,Bouchung,Bugrara,9999-01-01,Senior Staff,1998-06-18
17369,Yaghout,Kenevan,9999-01-01,Senior Engineer,1998-01-28
17369,Yaghout,Kenevan,9999-01-01,Engineer,1993-01-28
17988,Mabhin,Calkin,9999-01-01,Senior Engineer,1997-11-30
17988,Mabhin,Calkin,9999-01-01,Engineer,1989-11-30
20500,Christoph,Trystram,9999-01-01,Staff,1993-10-15
20500,Christoph,Trystram,9999-01-01,Senior Staff,1998-10-15
21181,Jianhui,Cangellaris,9999-01-01,Engineer,1999-10-06
21181,Jianhui,Cangellaris,9999-01-01,Assistant Engineer,1991-10-06
22415,Perla,Jumpertz,9999-01-01,Senior Staff,1994-08-24
22926,Manibrata,Genther,9999-01-01,Senior Engineer,1996-01-15
22926,Manibrata,Genther,9999-01-01,Engineer,1988-01-15
23396,Hilari,Fairtlough,9999-01-01,Technique Leader,1986-12-15
26629,Nevin,Rodham,9999-01-01,Senior Staff,1998-12-14
27767,Tooru,Veldwijk,9999-01-01,Staff,1993-11-21
27767,Tooru,Veldwijk,9999-01-01,Senior Staff,2000-11-21
28193,Xinglin,Mitsuhashi,9999-01-01,Senior Engineer,1997-12-14
28193,Xinglin,Mitsuhashi,9999-01-01,Engineer,1988-12-14
29418,Valery,Mersereau,9999-01-01,Assistant Engineer,1998-07-01
30695,Gudjon,Majewski,9999-01-01,Senior Engineer,1999-10-26
31568,Mark,Lalonde,9999-01-01,Staff,1996-11-24
32552,Atreye,Stanger,9999-01-01,Engineer,1999-09-10
32552,Atreye,Stanger,9999-01-01,Assistant Engineer,1993-09-10
36733,Uma,Reinhard,9999-01-01,Staff,1997-11-01
36844,Hailing,Levergood,9999-01-01,Staff,2000-01-12
38103,Masasuke,Babu,9999-01-01,Senior Engineer,1993-03-31
38103,Masasuke,Babu,9999-01-01,Engineer,1988-03-31
40269,Toshiki,Ghazalie,9999-01-01,Staff,1991-12-05
40269,Toshiki,Ghazalie,9999-01-01,Senior Staff,2000-12-04
42778,Shuji,Remmers,9999-01-01,Staff,1987-12-18
42778,Shuji,Remmers,9999-01-01,Senior Staff,1996-12-17
42955,Yucel,Lortz,9999-01-01,Engineer,1995-02-21
43154,Maha,Waterhouse,9999-01-01,Staff,1997-07-04
43154,Maha,Waterhouse,9999-01-01,Senior Staff,2002-07-04
45162,Dulce,Speel,9999-01-01,Senior Engineer,1996-10-18
45162,Dulce,Speel,9999-01-01,Engineer,1987-10-19
46811,Junsik,Berendt,9999-01-01,Senior Engineer,1988-04-27
52283,Trygve,Krupka,9999-01-01,Staff,1994-03-11
52283,Trygve,Krupka,9999-01-01,Senior Staff,2001-03-11
53431,Sham,Vasanthakumar,9999-01-01,Senior Staff,1985-10-24
53597,Jiafu,Marchegay,9999-01-01,Senior Engineer,1992-03-02
53597,Jiafu,Marchegay,9999-01-01,Engineer,1985-03-02
56428,Olivera,Hanabata,9999-01-01,Staff,1986-11-10
56428,Olivera,Hanabata,9999-01-01,Senior Staff,1992-11-09
56682,Roded,Picco,9999-01-01,Assistant Engineer,1993-11-06
58819,Gennady,Liesche,9999-01-01,Senior Staff,1987-12-02
63294,Tetsushi,Tanemo,9999-01-01,Senior Engineer,2002-03-01
63294,Tetsushi,Tanemo,9999-01-01,Engineer,1997-03-01
67548,Fumitaka,Roohalamini,9999-01-01,Staff,1998-06-27
66757,Yonghong,Baig,9999-01-01,Staff,1999-04-10
68648,Jaques,DiGiano,9999-01-01,Technique Leader,1992-04-01
68608,Yucai,Seghrouchni,9999-01-01,Senior Engineer,1994-06-09
68608,Yucai,Seghrouchni,9999-01-01,Engineer,1989-06-09
69936,Lalit,Unni,9999-01-01,Assistant Engineer,1998-12-06
71334,Cathie,Peck,9999-01-01,Senior Engineer,1998-04-12
71334,Cathie,Peck,9999-01-01,Engineer,1993-04-12
73233,Shigeo,Merey,9999-01-01,Senior Engineer,1985-07-30
73516,Qingxiang,Badache,9999-01-01,Senior Engineer,1996-06-25
73516,Qingxiang,Badache,9999-01-01,Engineer,1989-06-25
75354,Shuky,Jakobus,9999-01-01,Senior Engineer,1993-06-16
75354,Shuky,Jakobus,9999-01-01,Engineer,1986-06-16
76640,Tristan,Mitsuhashi,9999-01-01,Senior Engineer,2000-07-12
76640,Tristan,Mitsuhashi,9999-01-01,Engineer,1994-07-13
77815,Ronghao,Picaronny,9999-01-01,Engineer,2002-06-09
77815,Ronghao,Picaronny,9999-01-01,Assistant Engineer,1993-06-09
78106,Ashish,Ratnaker,9999-01-01,Senior Staff,1986-11-10
79763,Sanjoy,Barreiro,9999-01-01,Staff,1988-04-09
79763,Sanjoy,Barreiro,9999-01-01,Senior Staff,1996-04-09
81545,Larisa,Kornyak,9999-01-01,Technique Leader,1996-03-10
82511,Uwe,Koblick,9999-01-01,Engineer,1998-04-04
83805,Manohar,Harllee,9999-01-01,Senior Engineer,1987-03-11
84508,Tommaso,Vidya,9999-01-01,Engineer,1998-05-02
86422,Jaewon,Thummel,9999-01-01,Staff,1985-09-14
86422,Jaewon,Thummel,9999-01-01,Senior Staff,1992-09-14
87783,Conor,Thorensen,9999-01-01,Senior Engineer,1988-02-24
88958,Vojin,Coombs,9999-01-01,Staff,1995-07-23
88958,Vojin,Coombs,9999-01-01,Senior Staff,2002-07-23
89664,Pranjal,Rossi,9999-01-01,Staff,1998-07-07
92685,Mang,Atchley,9999-01-01,Senior Staff,1995-06-07
95314,Rasiah,Koblick,9999-01-01,Staff,1991-08-21
95314,Rasiah,Koblick,9999-01-01,Senior Staff,1999-08-21
95406,Alair,Lyonns,9999-01-01,Engineer,1997-07-12
97661,Avishai,Hegner,9999-01-01,Staff,1993-05-08
97661,Avishai,Hegner,9999-01-01,Senior Staff,2002-05-08
98288,Sumali,Huttel,9999-01-01,Staff,1989-09-12
98288,Sumali,Huttel,9999-01-01,Senior Staff,1997-09-12
98306,Ziya,Kadhim,9999-01-01,Senior Engineer,1995-11-02
98639,Florina,Assaf,9999-01-01,Staff,1996-05-18
99654,Mahendra,Motley,9999-01-01,Staff,1985-09-28
99654,Mahendra,Motley,9999-01-01,Senior Staff,1992-09-28
103316,Susanne,Peternell,9999-01-01,Senior Engineer,1999-07-27
103316,Susanne,Peternell,9999-01-01,Engineer,1994-07-27
106695,Lijie,Garrabrants,9999-01-01,Staff,1985-10-02
106695,Lijie,Garrabrants,9999-01-01,Senior Staff,1990-10-02
106242,Nevio,Thisen,9999-01-01,Staff,1988-03-25
106242,Nevio,Thisen,9999-01-01,Senior Staff,1994-03-25
106710,Babette,Anandan,9999-01-01,Staff,1986-11-22
106710,Babette,Anandan,9999-01-01,Senior Staff,1993-11-22
201229,Alejandra,Khasidashvili,9999-01-01,Staff,1994-07-30
201915,Sudharsan,DeMori,9999-01-01,Senior Engineer,1997-03-30
201915,Sudharsan,DeMori,9999-01-01,Engineer,1992-03-30
203946,Yefim,Marwedel,9999-01-01,Staff,1993-03-30
203946,Yefim,Marwedel,9999-01-01,Senior Staff,1999-03-30
205627,Stabislas,Broder,9999-01-01,Senior Engineer,2001-07-16
205627,Stabislas,Broder,9999-01-01,Engineer,1996-07-16
205699,Youjian,Yetto,9999-01-01,Staff,1994-12-07
205699,Youjian,Yetto,9999-01-01,Senior Staff,2000-12-06
205789,Limsoon,Skafidas,9999-01-01,Senior Staff,1999-08-10
207779,Chinya,Kamble,9999-01-01,Senior Staff,1992-05-31
208147,Manu,Rothenberg,9999-01-01,Senior Engineer,1995-12-07
208147,Manu,Rothenberg,9999-01-01,Engineer,1988-12-06
209565,Dante,Covnot,9999-01-01,Staff,1989-05-28
209565,Dante,Covnot,9999-01-01,Senior Staff,1998-05-28
210292,Lihong,Zeilberger,9999-01-01,Staff,1996-04-28
210752,Saniya,Stenning,9999-01-01,Staff,1986-12-10
210752,Saniya,Stenning,9999-01-01,Senior Staff,1991-12-10
210786,Werner,Ranze,9999-01-01,Staff,1998-06-05
215629,Munehiro,Manders,9999-01-01,Staff,1987-05-18
215629,Munehiro,Manders,9999-01-01,Senior Staff,1995-05-18
216502,Xiaocheng,Suermann,9999-01-01,Engineer,1997-12-15
219417,Subhrajyoti,Denna,9999-01-01,Staff,1996-07-25
219497,Moie,Zastre,9999-01-01,Technique Leader,1991-10-11
220029,Demos,Asser,9999-01-01,Senior Engineer,1985-11-04
220582,Poornachandra,Zielinski,9999-01-01,Staff,1996-02-13
220582,Poornachandra,Zielinski,9999-01-01,Senior Staff,2001-02-12
220699,Nahid,Gyimothy,9999-01-01,Staff,1995-08-18
220799,Perla,Orlowska,9999-01-01,Senior Engineer,1990-12-03
222319,Matt,Chvatal,9999-01-01,Senior Engineer,1994-11-09
222878,Annemarie,Zallocco,9999-01-01,Senior Engineer,1996-05-27
222878,Annemarie,Zallocco,9999-01-01,Engineer,1990-05-28
224335,Perry,Chachaty,9999-01-01,Senior Engineer,1992-07-22
224335,Perry,Chachaty,9999-01-01,Engineer,1985-07-22
225601,Masasuke,Genin,9999-01-01,Engineer,1999-06-25
225601,Masasuke,Genin,9999-01-01,Assistant Engineer,1994-06-25
227681,Mikhail,Rousseau,9999-01-01,Staff,1998-11-30
229098,Berry,Yurek,9999-01-01,Senior Staff,1995-08-16
228554,Bilhanan,Brendel,9999-01-01,Senior Staff,1990-12-23
230002,Tadahiro,Backhouse,9999-01-01,Senior Engineer,1999-10-02
230002,Tadahiro,Backhouse,9999-01-01,Engineer,1991-10-02
230865,Takushi,Brattka,9999-01-01,Staff,1999-03-09
235017,Irena,Dratva,9999-01-01,Staff,1991-09-07
235017,Irena,Dratva,9999-01-01,Senior Staff,1999-09-07
236566,Yechezkel,Maginnis,9999-01-01,Staff,1992-12-11
236566,Yechezkel,Maginnis,9999-01-01,Senior Staff,2000-12-11
236883,Huan,Olivero,9999-01-01,Staff,1999-11-19
238252,Uno,Suppi,9999-01-01,Staff,1996-12-27
238949,Minghong,Cronin,9999-01-01,Senior Staff,1987-10-04
240438,Temple,Cyre,9999-01-01,Staff,1992-09-30
240438,Temple,Cyre,9999-01-01,Senior Staff,1999-10-01
240132,Mizuhito,Kobara,9999-01-01,Staff,1996-08-09
240132,Mizuhito,Kobara,9999-01-01,Senior Staff,2001-08-09
240236,True,Tischendorf,9999-01-01,Senior Engineer,1992-01-19
240236,True,Tischendorf,9999-01-01,Engineer,1986-01-19
241292,Uri,Lampe,9999-01-01,Staff,1987-10-17
241292,Uri,Lampe,9999-01-01,Senior Staff,1994-10-17
244711,Rosli,Butner,9999-01-01,Engineer,1997-03-19
244711,Rosli,Butner,9999-01-01,Assistant Engineer,1991-03-20
244714,Poorav,Clouatre,9999-01-01,Senior Engineer,1996-05-06
249799,Jolita,Neimat,9999-01-01,Senior Engineer,1999-12-27
249799,Jolita,Neimat,9999-01-01,Engineer,1993-12-27
251437,Shichao,Iwayama,9999-01-01,Engineer,1996-10-17
251437,Shichao,Iwayama,9999-01-01,Assistant Engineer,1989-10-17
252316,Gill,Niizuma,9999-01-01,Senior Engineer,1999-10-08
252316,Gill,Niizuma,9999-01-01,Engineer,1994-10-08
253838,Stafford,Terlouw,9999-01-01,Assistant Engineer,1999-02-21
256856,Hongzue,Barbanera,9999-01-01,Staff,1987-06-17
256856,Hongzue,Barbanera,9999-01-01,Senior Staff,1995-06-17
257378,Pascal,Bernatsky,9999-01-01,Staff,1988-09-03
257378,Pascal,Bernatsky,9999-01-01,Senior Staff,1995-09-04
258643,Przemyslawa,Esposito,9999-01-01,Senior Engineer,2001-02-26
258643,Przemyslawa,Esposito,9999-01-01,Engineer,1992-02-27
259237,Palash,Gammage,9999-01-01,Staff,1987-10-23
259237,Palash,Gammage,9999-01-01,Senior Staff,1994-10-23
260361,Reinhold,Rahier,9999-01-01,Engineer,1995-06-06
261631,Jianhua,Huttel,9999-01-01,Engineer,1998-02-23
261986,Gila,Ramsak,9999-01-01,Senior Engineer,1997-05-13
268191,LiMin,Teitelbaum,9999-01-01,Senior Engineer,1995-11-01
268191,LiMin,Teitelbaum,9999-01-01,Engineer,1990-11-01
269728,Naftali,Kragelund,9999-01-01,Staff,1987-05-16
269728,Naftali,Kragelund,9999-01-01,Senior Staff,1993-05-15
271106,Taisook,Kampfer,9999-01-01,Engineer,1997-11-30
273159,Divine,Hofmeyr,9999-01-01,Technique Leader,1989-04-14
275444,Limsoon,Leppanen,9999-01-01,Senior Engineer,2000-01-22
275444,Limsoon,Leppanen,9999-01-01,Engineer,1993-01-21
277420,Rayond,Schach,9999-01-01,Senior Engineer,2001-04-21
277420,Rayond,Schach,9999-01-01,Engineer,1995-04-22
282191,Alper,Shinomoto,9999-01-01,Engineer,1997-10-20
284717,Gal,Ranta,9999-01-01,Senior Engineer,1997-11-07
284717,Gal,Ranta,9999-01-01,Engineer,1992-11-07
286370,Toshimitsu,Seuren,9999-01-01,Staff,1995-01-19
286370,Toshimitsu,Seuren,9999-01-01,Senior Staff,2000-01-19
287327,Youjian,Felder,9999-01-01,Staff,1993-07-15
287327,Youjian,Felder,9999-01-01,Senior Staff,2000-07-15
287334,Elliott,Speer,9999-01-01,Engineer,1998-08-08
287713,Aamod,Ranka,9999-01-01,Senior Staff,1992-12-07
288142,Shay,Heystek,9999-01-01,Staff,1989-04-01
288142,Shay,Heystek,9999-01-01,Senior Staff,1995-04-01
288665,Horward,Khasidashvili,9999-01-01,Senior Engineer,1998-11-19
294791,Vesna,Lammel,9999-01-01,Assistant Engineer,1999-10-08
401574,Yannik,Falco,9999-01-01,Technique Leader,1988-01-15
403010,Toshimitsu,Sluis,9999-01-01,Senior Engineer,1985-02-18
406125,Georgi,Portugali,9999-01-01,Technique Leader,1987-09-27
406564,Parviz,Picco,9999-01-01,Engineer,1995-04-16
406714,Malu,Ossenbruggen,9999-01-01,Staff,1986-11-21
406714,Malu,Ossenbruggen,9999-01-01,Senior Staff,1994-11-21
408163,Irene,Sethi,9999-01-01,Senior Engineer,1996-09-06
410433,Kazuhisa,Riesenhuber,9999-01-01,Senior Engineer,1992-10-06
411143,Goncalo,Barbanera,9999-01-01,Senior Staff,1996-09-01
413832,Marco,Jahnichen,9999-01-01,Senior Staff,1995-03-28
414714,Chinho,Delgrande,9999-01-01,Senior Staff,1996-11-07
415363,Conal,Shackell,9999-01-01,Staff,1986-01-25
